transaction_id,user_id,country,currency,amount,product_category,transaction_time,batch_id
tx_20250526210357_0000,user_7163,US,USD,162.18,Health,2025-05-26 21:03:57,batch_20250526_21
tx_20250527120034_0001,user_9706,UK,GBP,17.12,Food,2025-05-27 12:00:34,batch_20250527_12
tx_20250527043446_0002,user_5401,UK,GBP,202.63,Health,2025-05-27 04:34:46,batch_20250527_04
tx_20250526215551_0003,user_9999,SE,SEK,82.41,Clothing,2025-05-26 21:55:51,batch_20250526_21
tx_20250527145857_0004,user_7343,AU,AUD,233.43,Sports,2025-05-27 14:58:57,batch_20250527_14
tx_20250528104253_0005,user_2312,NO,NOK,111.63,Electronics,2025-05-28 10:42:53,batch_20250528_10
tx_20250528134619_0006,user_2419,CA,CAD,232.53,Sports,2025-05-28 13:46:19,batch_20250528_13
tx_20250528141030_0007,user_6969,DE,EUR,272.67,Home & Garden,2025-05-28 14:10:30,batch_20250528_14
tx_20250526143420_0008,user_6894,AU,AUD,63.74,Toys,2025-05-26 14:34:20,batch_20250526_14
tx_20250528140215_0009,user_2502,FR,EUR,384.64,Automotive,2025-05-28 14:02:15,batch_20250528_14
tx_20250527043952_0010,user_5302,AU,AUD,97.01,Automotive,2025-05-27 04:39:52,batch_20250527_04
tx_20250527042139_0011,user_4533,SE,SEK,205.91,Food,2025-05-27 04:21:39,batch_20250527_04
tx_20250528081518_0012,user_8405,UK,GBP,220.31,Books,2025-05-28 08:15:18,batch_20250528_08
tx_20250526192052_0013,user_1482,SE,SEK,106.95,Automotive,2025-05-26 19:20:52,batch_20250526_19
tx_20250527140852_0014,user_7062,CA,CAD,148.39,Automotive,2025-05-27 14:08:52,batch_20250527_14
tx_20250527034232_0015,user_2809,NO,NOK,192.31,Food,2025-05-27 03:42:32,batch_20250527_03
tx_20250528051255_0016,user_9392,JP,JPY,18346.0,Books,2025-05-28 05:12:55,batch_20250528_05
tx_20250527140359_0017,user_1607,SE,SEK,87.63,Home & Garden,2025-05-27 14:03:59,batch_20250527_14
tx_20250527201500_0018,user_4307,AU,AUD,112.61,Automotive,2025-05-27 20:15:00,batch_20250527_20
tx_20250527083437_0019,user_9489,CA,CAD,268.29,Automotive,2025-05-27 08:34:37,batch_20250527_08
tx_20250527230037_0020,user_7896,US,USD,265.9,Electronics,2025-05-27 23:00:37,batch_20250527_23
tx_20250527132133_0021,user_2090,SE,SEK,131.59,Food,2025-05-27 13:21:33,batch_20250527_13
tx_20250527135323_0022,user_6815,DE,EUR,386.99,Electronics,2025-05-27 13:53:23,batch_20250527_13
tx_20250526192933_0023,user_2112,CA,CAD,235.19,Food,2025-05-26 19:29:33,batch_20250526_19
tx_20250528114301_0024,user_9793,CA,CAD,277.3,Clothing,2025-05-28 11:43:01,batch_20250528_11
tx_20250526150147_0025,user_7699,DE,EUR,136.98,Electronics,2025-05-26 15:01:47,batch_20250526_15
tx_20250526170211_0026,user_1617,CA,CAD,166.18,Toys,2025-05-26 17:02:11,batch_20250526_17
tx_20250528132446_0027,user_4243,CA,CAD,100.69,Toys,2025-05-28 13:24:46,batch_20250528_13
tx_20250527052131_0028,user_2078,SE,SEK,7.06,Home & Garden,2025-05-27 05:21:31,batch_20250527_05
tx_20250528084742_0029,user_8617,SE,SEK,176.11,Food,2025-05-28 08:47:42,batch_20250528_08
tx_20250527145013_0030,user_1495,US,USD,96.27,Toys,2025-05-27 14:50:13,batch_20250527_14
tx_20250528011353_0031,user_7838,CA,CAD,31.48,Automotive,2025-05-28 01:13:53,batch_20250528_01
tx_20250528135243_0032,user_5583,AU,AUD,132.38,Health,2025-05-28 13:52:43,batch_20250528_13
tx_20250528002141_0033,user_9362,SE,SEK,84.2,Books,2025-05-28 00:21:41,batch_20250528_00
tx_20250526223319_0034,user_9178,CH,CHF,148.48,Books,2025-05-26 22:33:19,batch_20250526_22
tx_20250527033505_0035,user_7985,JP,JPY,14786.0,Home & Garden,2025-05-27 03:35:05,batch_20250527_03
tx_20250527084918_0036,user_1672,AU,AUD,174.08,Electronics,2025-05-27 08:49:18,batch_20250527_08
tx_20250527030814_0037,user_9973,FR,EUR,265.9,Books,2025-05-27 03:08:14,batch_20250527_03
tx_20250528021338_0038,user_4132,FR,EUR,164.23,Clothing,2025-05-28 02:13:38,batch_20250528_02
tx_20250528072543_0039,user_4368,AU,AUD,147.25,Sports,2025-05-28 07:25:43,batch_20250528_07
tx_20250528091354_0040,user_2277,CH,CHF,103.41,Toys,2025-05-28 09:13:54,batch_20250528_09
tx_20250528073900_0041,user_9585,SE,SEK,240.19,Home & Garden,2025-05-28 07:39:00,batch_20250528_07
tx_20250526180227_0042,user_3254,CA,CAD,209.71,Electronics,2025-05-26 18:02:27,batch_20250526_18
tx_20250527162656_0043,user_6972,FR,EUR,360.01,Sports,2025-05-27 16:26:56,batch_20250527_16
tx_20250526210805_0044,user_7135,CH,CHF,117.07,Health,2025-05-26 21:08:05,batch_20250526_21
tx_20250526193120_0045,user_8726,DE,EUR,15.25,Sports,2025-05-26 19:31:20,batch_20250526_19
tx_20250527195715_0046,user_8332,CA,CAD,59.48,Food,2025-05-27 19:57:15,batch_20250527_19
tx_20250527215835_0047,user_9968,US,USD,439.73,Health,2025-05-27 21:58:35,batch_20250527_21
tx_20250527050305_0048,user_1169,NO,NOK,50.08,Food,2025-05-27 05:03:05,batch_20250527_05
tx_20250527115757_0049,user_2436,CH,CHF,262.93,Electronics,2025-05-27 11:57:57,batch_20250527_11
tx_20250528072927_0050,user_3836,AU,AUD,122.7,Electronics,2025-05-28 07:29:27,batch_20250528_07
tx_20250528072233_0051,user_2245,US,USD,236.76,Automotive,2025-05-28 07:22:33,batch_20250528_07
tx_20250528083823_0052,user_5171,AU,AUD,52.91,Health,2025-05-28 08:38:23,batch_20250528_08
tx_20250527085257_0053,user_6310,UK,GBP,214.37,Automotive,2025-05-27 08:52:57,batch_20250527_08
tx_20250527211137_0054,user_3597,CH,CHF,115.0,Food,2025-05-27 21:11:37,batch_20250527_21
tx_20250528095031_0055,user_4732,CA,CAD,204.24,Food,2025-05-28 09:50:31,batch_20250528_09
tx_20250527200143_0056,user_2949,UK,GBP,35.21,Food,2025-05-27 20:01:43,batch_20250527_20
tx_20250527032737_0057,user_6380,AU,AUD,130.45,Food,2025-05-27 03:27:37,batch_20250527_03
tx_20250526214015_0058,user_8172,JP,JPY,5086.0,Automotive,2025-05-26 21:40:15,batch_20250526_21
tx_20250528033208_0059,user_9684,UK,GBP,215.77,Home & Garden,2025-05-28 03:32:08,batch_20250528_03
tx_20250527104303_0060,user_1571,FR,EUR,24.08,Clothing,2025-05-27 10:43:03,batch_20250527_10
tx_20250527195809_0061,user_2503,US,USD,308.56,Electronics,2025-05-27 19:58:09,batch_20250527_19
tx_20250527064236_0062,user_9652,CA,CAD,238.12,Sports,2025-05-27 06:42:36,batch_20250527_06
tx_20250528014409_0063,user_6276,UK,GBP,43.42,Books,2025-05-28 01:44:09,batch_20250528_01
tx_20250526152913_0064,user_2064,CA,CAD,110.05,Automotive,2025-05-26 15:29:13,batch_20250526_15
tx_20250526191646_0065,user_7227,CH,CHF,293.93,Toys,2025-05-26 19:16:46,batch_20250526_19
tx_20250527135555_0066,user_2957,NO,NOK,81.46,Automotive,2025-05-27 13:55:55,batch_20250527_13
tx_20250526233539_0067,user_1010,UK,GBP,45.91,Sports,2025-05-26 23:35:39,batch_20250526_23
tx_20250527201428_0068,user_1177,US,USD,94.02,Home & Garden,2025-05-27 20:14:28,batch_20250527_20
tx_20250528121655_0069,user_9687,CA,CAD,277.07,Toys,2025-05-28 12:16:55,batch_20250528_12
tx_20250526164453_0070,user_8835,FR,EUR,393.45,Home & Garden,2025-05-26 16:44:53,batch_20250526_16
tx_20250526202848_0071,user_1079,JP,JPY,49075.0,Automotive,2025-05-26 20:28:48,batch_20250526_20
tx_20250528133016_0072,user_6109,US,USD,68.24,Toys,2025-05-28 13:30:16,batch_20250528_13
tx_20250527163238_0073,user_1668,NO,NOK,295.12,Sports,2025-05-27 16:32:38,batch_20250527_16
tx_20250528003524_0074,user_8613,UK,GBP,230.32,Clothing,2025-05-28 00:35:24,batch_20250528_00
tx_20250527063738_0075,user_9637,FR,EUR,80.57,Clothing,2025-05-27 06:37:38,batch_20250527_06
tx_20250528074524_0076,user_4118,CA,CAD,117.87,Sports,2025-05-28 07:45:24,batch_20250528_07
tx_20250526155106_0077,user_9026,AU,AUD,163.0,Clothing,2025-05-26 15:51:06,batch_20250526_15
tx_20250527184534_0078,user_2658,AU,AUD,102.48,Automotive,2025-05-27 18:45:34,batch_20250527_18
tx_20250527144704_0079,user_6832,CA,CAD,147.97,Books,2025-05-27 14:47:04,batch_20250527_14
tx_20250527055638_0080,user_4664,US,USD,59.57,Automotive,2025-05-27 05:56:38,batch_20250527_05
tx_20250526165900_0081,user_7136,NO,NOK,149.03,Home & Garden,2025-05-26 16:59:00,batch_20250526_16
tx_20250527170553_0082,user_1226,DE,EUR,359.08,Automotive,2025-05-27 17:05:53,batch_20250527_17
tx_20250527023931_0083,user_4464,DE,EUR,393.17,Books,2025-05-27 02:39:31,batch_20250527_02
tx_20250528104827_0084,user_9232,CA,CAD,51.76,Home & Garden,2025-05-28 10:48:27,batch_20250528_10
tx_20250528071308_0085,user_6349,DE,EUR,141.04,Books,2025-05-28 07:13:08,batch_20250528_07
tx_20250527002637_0086,user_4075,UK,GBP,33.64,Health,2025-05-27 00:26:37,batch_20250527_00
tx_20250528102542_0087,user_2519,US,USD,189.37,Home & Garden,2025-05-28 10:25:42,batch_20250528_10
tx_20250526155615_0088,user_5175,FR,EUR,204.29,Books,2025-05-26 15:56:15,batch_20250526_15
tx_20250528133605_0089,user_8118,FR,EUR,372.2,Food,2025-05-28 13:36:05,batch_20250528_13
tx_20250528104430_0090,user_4050,CA,CAD,161.69,Sports,2025-05-28 10:44:30,batch_20250528_10
tx_20250528135502_0091,user_4908,UK,GBP,265.23,Toys,2025-05-28 13:55:02,batch_20250528_13
tx_20250527224636_0092,user_6670,DE,EUR,224.13,Health,2025-05-27 22:46:36,batch_20250527_22
tx_20250527134203_0093,user_5110,US,USD,137.16,Clothing,2025-05-27 13:42:03,batch_20250527_13
tx_20250528020939_0094,user_1479,FR,EUR,118.62,Food,2025-05-28 02:09:39,batch_20250528_02
tx_20250528070149_0095,user_7092,SE,SEK,197.26,Electronics,2025-05-28 07:01:49,batch_20250528_07
tx_20250527211645_0096,user_6273,NO,NOK,264.66,Home & Garden,2025-05-27 21:16:45,batch_20250527_21
tx_20250527234601_0097,user_7595,FR,EUR,225.14,Food,2025-05-27 23:46:01,batch_20250527_23
tx_20250528041023_0098,user_5516,CA,CAD,96.3,Toys,2025-05-28 04:10:23,batch_20250528_04
tx_20250528021405_0099,user_3814,FR,EUR,122.7,Electronics,2025-05-28 02:14:05,batch_20250528_02
tx_20250527142413_0100,user_3676,DE,EUR,266.63,Sports,2025-05-27 14:24:13,batch_20250527_14
tx_20250527125452_0101,user_7754,FR,EUR,47.05,Home & Garden,2025-05-27 12:54:52,batch_20250527_12
tx_20250526154641_0102,user_5574,DE,EUR,327.78,Sports,2025-05-26 15:46:41,batch_20250526_15
tx_20250527065343_0103,user_9168,CH,CHF,52.81,Health,2025-05-27 06:53:43,batch_20250527_06
tx_20250528000639_0104,user_6180,NO,NOK,91.92,Books,2025-05-28 00:06:39,batch_20250528_00
tx_20250526190919_0105,user_1683,DE,EUR,373.92,Toys,2025-05-26 19:09:19,batch_20250526_19
tx_20250528071231_0106,user_3419,FR,EUR,287.99,Sports,2025-05-28 07:12:31,batch_20250528_07
tx_20250527131223_0107,user_4395,CH,CHF,297.19,Electronics,2025-05-27 13:12:23,batch_20250527_13
tx_20250526201105_0108,user_1863,JP,JPY,15498.0,Toys,2025-05-26 20:11:05,batch_20250526_20
tx_20250528100953_0109,user_8735,UK,GBP,284.64,Electronics,2025-05-28 10:09:53,batch_20250528_10
tx_20250528035533_0110,user_8667,FR,EUR,266.97,Home & Garden,2025-05-28 03:55:33,batch_20250528_03
tx_20250528052944_0111,user_3013,CH,CHF,70.88,Automotive,2025-05-28 05:29:44,batch_20250528_05
tx_20250527131209_0112,user_1604,UK,GBP,247.4,Automotive,2025-05-27 13:12:09,batch_20250527_13
tx_20250527035005_0113,user_3652,DE,EUR,74.28,Home & Garden,2025-05-27 03:50:05,batch_20250527_03
tx_20250527213622_0114,user_5609,AU,AUD,218.09,Food,2025-05-27 21:36:22,batch_20250527_21
tx_20250527131937_0115,user_2125,US,USD,262.25,Health,2025-05-27 13:19:37,batch_20250527_13
tx_20250528115226_0116,user_3853,JP,JPY,42435.0,Automotive,2025-05-28 11:52:26,batch_20250528_11
tx_20250527111409_0117,user_6878,FR,EUR,72.43,Books,2025-05-27 11:14:09,batch_20250527_11
tx_20250527062411_0118,user_7283,FR,EUR,74.81,Toys,2025-05-27 06:24:11,batch_20250527_06
tx_20250528131754_0119,user_2924,AU,AUD,115.05,Electronics,2025-05-28 13:17:54,batch_20250528_13
tx_20250527203520_0120,user_7813,CH,CHF,176.63,Sports,2025-05-27 20:35:20,batch_20250527_20
tx_20250528093832_0121,user_1654,AU,AUD,163.43,Electronics,2025-05-28 09:38:32,batch_20250528_09
tx_20250527155957_0122,user_6276,JP,JPY,21806.0,Home & Garden,2025-05-27 15:59:57,batch_20250527_15
tx_20250528093312_0123,user_6000,NO,NOK,250.49,Food,2025-05-28 09:33:12,batch_20250528_09
tx_20250527150706_0124,user_1472,AU,AUD,70.42,Home & Garden,2025-05-27 15:07:06,batch_20250527_15
tx_20250528131900_0125,user_6167,CA,CAD,36.15,Food,2025-05-28 13:19:00,batch_20250528_13
tx_20250528023747_0126,user_3083,SE,SEK,154.35,Food,2025-05-28 02:37:47,batch_20250528_02
tx_20250528030021_0127,user_3864,NO,NOK,236.67,Health,2025-05-28 03:00:21,batch_20250528_03
tx_20250528070623_0128,user_7846,DE,EUR,96.21,Toys,2025-05-28 07:06:23,batch_20250528_07
tx_20250527064217_0129,user_2449,UK,GBP,11.51,Health,2025-05-27 06:42:17,batch_20250527_06
tx_20250527145221_0130,user_4023,US,USD,235.0,Health,2025-05-27 14:52:21,batch_20250527_14
tx_20250527110307_0131,user_7956,US,USD,230.67,Health,2025-05-27 11:03:07,batch_20250527_11
tx_20250528044716_0132,user_6329,AU,AUD,281.43,Food,2025-05-28 04:47:16,batch_20250528_04
tx_20250527034324_0133,user_4917,JP,JPY,25672.0,Clothing,2025-05-27 03:43:24,batch_20250527_03
tx_20250528013020_0134,user_4956,CA,CAD,229.35,Clothing,2025-05-28 01:30:20,batch_20250528_01
tx_20250527085939_0135,user_5595,NO,NOK,54.28,Clothing,2025-05-27 08:59:39,batch_20250527_08
tx_20250526145519_0136,user_4773,JP,JPY,25765.0,Food,2025-05-26 14:55:19,batch_20250526_14
tx_20250527061415_0137,user_8583,NO,NOK,287.27,Electronics,2025-05-27 06:14:15,batch_20250527_06
tx_20250526233352_0138,user_7320,JP,JPY,28476.0,Food,2025-05-26 23:33:52,batch_20250526_23
tx_20250527093607_0139,user_9635,JP,JPY,27853.0,Books,2025-05-27 09:36:07,batch_20250527_09
tx_20250526145431_0140,user_4547,UK,GBP,43.4,Clothing,2025-05-26 14:54:31,batch_20250526_14
tx_20250527161402_0141,user_7618,AU,AUD,114.69,Clothing,2025-05-27 16:14:02,batch_20250527_16
tx_20250526183958_0142,user_3254,SE,SEK,270.17,Sports,2025-05-26 18:39:58,batch_20250526_18
tx_20250528041314_0143,user_9394,UK,GBP,119.92,Health,2025-05-28 04:13:14,batch_20250528_04
tx_20250527214338_0144,user_1469,UK,GBP,131.71,Sports,2025-05-27 21:43:38,batch_20250527_21
tx_20250526195846_0145,user_6425,JP,JPY,17263.0,Clothing,2025-05-26 19:58:46,batch_20250526_19
tx_20250527062123_0146,user_3344,NO,NOK,161.88,Books,2025-05-27 06:21:23,batch_20250527_06
tx_20250528063554_0147,user_2239,NO,NOK,242.18,Books,2025-05-28 06:35:54,batch_20250528_06
